Category,Rating,Name,URL
Author,,,http://www.allsides.com
Author,right,Al Cardenas,http://www.allsides.com/news-source/al-cardenas
Author,right,Allysia Finley (Wall Street Journal),http://www.allsides.com/news-source/allysia-finley
Author,right,Ann Coulter,http://www.allsides.com/news-source/ann-coulter
Author,center,AP,http://www.allsides.com/news-source/ap
Author,left-center,Arkadi Gerney,http://www.allsides.com/news-source/arkadi-gerney
Cartoonist,left,Ben Sargent,http://www.allsides.com/news-source/ben-sargent-cartoonist
Author,right,Ben Shapiro,http://www.allsides.com/news-source/ben-shapiro
Author,right-center,Ben Stein,http://www.allsides.com/news-source/ben-stein
Author,center,Beth Ballentine,http://www.allsides.com/news-source/beth-ballentine
Cartoonist,right,Bob Gorrell,http://www.allsides.com/news-source/bob-gorrell-cartoonist
Author,right,Brent Bozell,http://www.allsides.com/news-source/brent-bozell
Author,right,Carrie Lukas,http://www.allsides.com/news-source/carrie-lukas
Cartoonist,left,Chan Lowe,http://www.allsides.com/news-source/chan-lowe-cartoonist
Author,right-center,Charles Krauthammer,http://www.allsides.com/news-source/charles-krauthammer
Cartoonist,right,Chip Bok,http://www.allsides.com/news-source/chip-bok-cartoonist
Cartoonist,center,Chris Britt,http://www.allsides.com/news-source/chris-britt-cartoonist
Author,right,Chris Ruddy,http://www.allsides.com/news-source/chris-ruddy
Cartoonist,right,Chuck Asay,http://www.allsides.com/news-source/chuck-asay-cartoonist
Cartoonist,left,Clay Bennett,http://www.allsides.com/news-source/clay-bennett-cartoonist
Author,left-center,Damon Linker,http://www.allsides.com/news-source/damon-linker
Cartoonist,left,Dan Wasserman,http://www.allsides.com/news-source/dan-wasserman-cartoonist
Author,center,Dana Milbank,http://www.allsides.com/news-source/dana-milbank
Cartoonist,right-center,Dana Summers,http://www.allsides.com/news-source/dana-summers-cartoonist
Author,right-center,David Brooks,http://www.allsides.com/news-source/david-brooks
Author,left-center,David Holmes,http://www.allsides.com/news-source/david-holmes
Author,center,David Ignatius,http://www.allsides.com/news-source/david-ignatius
Author,right,Debra Saunders,http://www.allsides.com/news-source/debra-saunders
Cartoonist,right,Dick Locher,http://www.allsides.com/news-source/dick-locher-cartoonist
Author,right-center,Dick Morris,http://www.allsides.com/news-source/dick-morris
Cartoonist,center,Drew Litton,http://www.allsides.com/news-source/drew-litton-cartoonist
Cartoonist,left,Drew Sheneman,http://www.allsides.com/news-source/drew-sheneman-cartoonist
Author,right,Edward Morrissey,http://www.allsides.com/news-source/edward-morrissey
Cartoonist,right,Eric Allie,http://www.allsides.com/news-source/eric-allie-cartoonist
Author,center,Erik Wemple,http://www.allsides.com/news-source/erik-wemple
Author,left,Eugene Robinson,http://www.allsides.com/news-source/eugene-robinson
Author,left,Ezra Klein,http://www.allsides.com/news-source/ezra-klein
Author,center,FiveThirtyEight,http://www.allsides.com/news-source/fivethirtyeight
Author,left-center,Froma Harrop,http://www.allsides.com/news-source/froma-harrop
Cartoonist,center,Gary Markstein,http://www.allsides.com/news-source/gary-markstein-cartoonist
Cartoonist,right,Gary Varvel,http://www.allsides.com/news-source/gary-varvel-cartoonist
Author,right,George Will,http://www.allsides.com/news-source/george-will
Author,right,Glenn Beck,http://www.allsides.com/news-source/glenn-beck
Cartoonist,right,Glenn McCoy,http://www.allsides.com/news-source/glenn-mccoy-cartoonist
Author,right,Grover Norquist,http://www.allsides.com/news-source/grover-norquist
Author,left-center,Guest Writer - Left,http://www.allsides.com/news-source/guest-writer-left
Author,right-center,Guest Writer - Right,http://www.allsides.com/news-source/guest-writer-right
Author,right,Heather McDonald,http://www.allsides.com/news-source/heather-mcdonald
Cartoonist,right,Henry Payne,http://www.allsides.com/news-source/henry-payne-cartoonist
Author,center,Howard Kurtz,http://www.allsides.com/news-source/howard-kurtz
Cartoonist,left,Jack Ohman,http://www.allsides.com/news-source/jack-ohman-cartoonist
Author,right-center,Jack Welch,http://www.allsides.com/news-source/jack-welch
Author,right-center,James Hohmann,http://www.allsides.com/news-source/james-hohmann
Author,right-center,James Pethokoukis,http://www.allsides.com/news-source/james-pethokoukis
Author,right,James Poulos,http://www.allsides.com/news-source/james-poulos
Cartoonist,left,Jeff Danziger,http://www.allsides.com/news-source/jeff-danziger-cartoonist
Author,right,Jeff Jacoby,http://www.allsides.com/news-source/jeff-jacoby
Cartoonist,left,Jeff Stahler,http://www.allsides.com/news-source/jeff-stahler-cartoonist
Cartoonist,left,Jen Sorensen,http://www.allsides.com/news-source/jen-sorensen-cartoonist
Author,right-center,Jennifer Rubin,http://www.allsides.com/news-source/jennifer-rubin
Author,right,Jerry Bowyer,http://www.allsides.com/news-source/jerry-bowyer
Cartoonist,right,Jerry Holbert,http://www.allsides.com/news-source/jerry-holbert-cartoonist
Author,left,Jesse Jackson,http://www.allsides.com/news-source/jesse-jackson
Cartoonist,left,Jim Morin,http://www.allsides.com/news-source/jim-morin-cartoonist
Author,left,Joan Blades,http://www.allsides.com/news-source/joan-blades
Author,right-center,Joe Scarborough,http://www.allsides.com/news-source/joe-scarborough
Author,right-center,Joe Scarborough,http://www.allsides.com/news-source/joe-scarborough
Cartoonist,left,Joel Pett,http://www.allsides.com/news-source/joel-pett-cartoonist
